"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","","2011-12","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Anti-social behaviour",NA,NA,"Chancery Lane",0.0428262853097868,"Camden",2011-12-01
"2","","2011-12","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Anti-social behaviour",NA,NA,"Chancery Lane",0.0428262853097868,"Camden",2011-12-01
"3","c2453e30e3d2299f1b703927bcd1ece65c6fa8bbd401dc5aae66168009ef721e","2011-12","City of London Police","City of London Police",-0.111962,51.51849,"On or near Nightclub","E01000914","Camden 028B","Other theft",NA,NA,"Chancery Lane",0.0010914053170227,"Camden",2011-12-01
"4","fc8183f2c4dae93d88b1b67ad3d01370bd953d0109c95837d744bfd2e98e109a","2011-12","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Shoplifting",NA,NA,"Chancery Lane",0.0428262853097868,"Camden",2011-12-01
"5","","2011-12","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.054395010896171,"City of London",2011-12-01
"6","","2011-12","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"St. Pauls",0.05621740875793,"City of London",2011-12-01
"7","","2011-12","City of London Police","City of London Police",-0.095914,51.52035,"On or near Beech Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.124969561709825,"City of London",2011-12-01
"8","","2011-12","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"St. Pauls",0.05621740875793,"City of London",2011-12-01
"9","","2011-12","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.054395010896171,"City of London",2011-12-01
"10","","2011-12","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.151036284394236,"City of London",2011-12-01
"11","83308c95606ea3d94ae8077329db5be9aaefc052dfe2691de8f4cff20de6e173","2011-12","City of London Police","City of London Police",-0.098023,51.51991,"On or near Long Lane","E01000001","City of London 001A","Burglary",NA,NA,"Barbican",0.0403725735680709,"City of London",2011-12-01
"12","9b261f388b9275d9f15fa6af07743448fcccfd85de48d09a7b76d4dde5560d77","2011-12","City of London Police","City of London Police",-0.098023,51.51991,"On or near Long Lane","E01000001","City of London 001A","Burglary",NA,NA,"Barbican",0.0403725735680709,"City of London",2011-12-01
"13","65841066e825e50ce5ec48f9f79824d915c5fb1fccff3caaae395ad158b0604a","2011-12","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Other theft",NA,NA,"St. Pauls",0.05621740875793,"City of London",2011-12-01
"14","0d772df134ef0ac6bb908b76fb40c594408a927ae15f2c1c1a2383a9170d8a92","2011-12","City of London Police","City of London Police",-0.098572,51.51677,"On or near King Edward Street","E01000001","City of London 001A","Other theft",NA,NA,"St. Pauls",0.226311513076327,"City of London",2011-12-01
"15","3991004096af6ebba47082a33dd9783430e99837c59474474472a9f3d96671b6","2011-12","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Shoplifting",NA,NA,"St. Pauls",0.05621740875793,"City of London",2011-12-01
"16","2bcc6a19ee7e717479d4ac0463544504d7449dec81495042423d3fbd41290a2c","2011-12","City of London Police","City of London Police",-0.098572,51.51677,"On or near King Edward Street","E01000001","City of London 001A","Vehicle crime",NA,NA,"St. Pauls",0.226311513076327,"City of London",2011-12-01
"17","41454d64debcba1dc8550a86072abdac2d10dd8a1f7995aac1999bb8a637b7b6","2011-12","City of London Police","City of London Police",-0.098572,51.51677,"On or near King Edward Street","E01000001","City of London 001A","Vehicle crime",NA,NA,"St. Pauls",0.226311513076327,"City of London",2011-12-01
"18","58eeb6a71635c11d27049bdc1f3bfbe4969f921635c0fd9a09514bd4ad1fc1ae","2011-12","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Vehicle crime",NA,NA,"Barbican",0.151036284394236,"City of London",2011-12-01
"19","adf1640ec1ece6c6ecf0ca13bac5a2ab43fab9bf4ec53c01117e5bb8bc47c541","2011-12","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Violent crime",NA,NA,"Barbican",0.151036284394236,"City of London",2011-12-01
"20","","2011-12","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0530660174939833,"City of London",2011-12-01
"21","","2011-12","City of London Police","City of London Police",-0.092297,51.51895,"On or near Park/Open Space","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.234925905317543,"City of London",2011-12-01
"22","","2011-12","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-12-01
"23","","2011-12","City of London Police","City of London Police",-0.094115,51.5165,"On or near Wood Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"St. Pauls",0.301625329028494,"City of London",2011-12-01
"24","","2011-12","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0530660174939833,"City of London",2011-12-01
"25","","2011-12","City of London Police","City of London Police",-0.093948,51.51808,"On or near Monkwell Square","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Barbican",0.352176028069231,"City of London",2011-12-01
"26","","2011-12","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0530660174939833,"City of London",2011-12-01
"27","","2011-12","City of London Police","City of London Police",-0.092093,51.51692,"On or near Basinghall Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.272332925296904,"City of London",2011-12-01
"28","","2011-12","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0530660174939833,"City of London",2011-12-01
"29","","2011-12","City of London Police","City of London Police",-0.093919,51.51981,"On or near Parking Area","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Barbican",0.265949821310639,"City of London",2011-12-01
"30","","2011-12","City of London Police","City of London Police",-0.09144,51.51981,"On or near Silk Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.227440771237072,"City of London",2011-12-01
"31","9dcac4f1d561d58b44a3962ce8ec755cd1eb3286d539b9629b6b6aaccfa93141","2011-12","City of London Police","City of London Police",-0.095484,51.51547,"On or near Gutter Lane","E01000002","City of London 001B","Burglary",NA,NA,"St. Pauls",0.15984215071289,"City of London",2011-12-01
"32","ee963a62efc88dc4c7ba5c0985c09d6dae4e1a21a43ebaa15f2157ce4653c0db","2011-12","City of London Police","City of London Police",-0.0954,51.51575,"On or near Conference/Exhibition Centre","E01000002","City of London 001B","Drugs",NA,NA,"St. Pauls",0.180594587161702,"City of London",2011-12-01
