"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","56daeb810651298a0d5a8863b5fadec64eb963bd5ae5d65564fbc38f477c6132","2012-08","City of London Police","City of London Police",-0.107607,51.51784,"On or near A40","E01000917","Camden 027C","Public disorder and weapons","Investigation complete; no suspect identified",NA,"Farringdon",0.324914100896278,"Camden",2012-08-01
"2","","2012-08","City of London Police","City of London Police",-0.113274,51.51638,"On or near Old Buildings","E01000914","Camden 028B","Anti-social behaviour","",NA,"Chancery Lane",0.252350480500189,"Camden",2012-08-01
"3","87cb04196db47188eb958205d8e1890a08f46e69034138ce00b8ea7011a58806","2012-08","City of London Police","City of London Police",-0.113767,51.51737,"On or near Stone Buildings","E01000914","Camden 028B","Drugs","Offender given a drugs possession warning",NA,"Chancery Lane",0.177396832005854,"Camden",2012-08-01
"4","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"5","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"6","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"7","","2012-08","City of London Police","City of London Police",-0.095892,51.51639,"On or near Noble Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.207732584413019,"City of London",2012-08-01
"8","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"9","","2012-08","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-08-01
"10","","2012-08","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.294058152011886,"City of London",2012-08-01
"11","","2012-08","City of London Police","City of London Police",-0.096348,51.51547,"On or near Foster Lane","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.109430319116701,"City of London",2012-08-01
"12","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"13","","2012-08","City of London Police","City of London Police",-0.097053,51.51826,"On or near Aldersgate Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.222080352543544,"City of London",2012-08-01
"14","","2012-08","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.151036284394236,"City of London",2012-08-01
"15","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"16","","2012-08","City of London Police","City of London Police",-0.095914,51.52035,"On or near Beech Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.124969561709825,"City of London",2012-08-01
"17","","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"18","","2012-08","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-08-01
"19","a983607741e702cebff0590461fe5cf2a49be58997c53687bf5f18103f65f981","2012-08","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Drugs","Offender given a drugs possession warning",NA,"Barbican",0.151036284394236,"City of London",2012-08-01
"20","083bd809a943f43a644e079b1acdfaf625233e6deca77d25f60fc988a1942c53","2012-08","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.151036284394236,"City of London",2012-08-01
"21","f16e306cb49048492fff8c9eddcab960b6ac3ce096bd9518269b8caf44679317","2012-08","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.054395010896171,"City of London",2012-08-01
"22","06f92aeb6de1bf83e236be065e2ccc764628f55409a0966e36cdcc8761302f95","2012-08","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Shoplifting","Investigation complete; no suspect identified",NA,"St. Pauls",0.05621740875793,"City of London",2012-08-01
"23","6bd74ad6d55043889ca09cb2a6347a132afea0974b7c0f750f2cd9bb77876a71","2012-08","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Violent crime","Investigation complete; no suspect identified",NA,"Barbican",0.151036284394236,"City of London",2012-08-01
"24","","2012-08","City of London Police","City of London Police",-0.095026,51.5185,"On or near Park/Open Space","E01000002","City of London 001B","Anti-social behaviour","",NA,"Barbican",0.266070960073138,"City of London",2012-08-01
"25","","2012-08","City of London Police","City of London Police",-0.093948,51.51808,"On or near Monkwell Square","E01000002","City of London 001B","Anti-social behaviour","",NA,"Barbican",0.352176028069231,"City of London",2012-08-01
"26","","2012-08","City of London Police","City of London Police",-0.093948,51.51808,"On or near Monkwell Square","E01000002","City of London 001B","Anti-social behaviour","",NA,"Barbican",0.352176028069231,"City of London",2012-08-01
"27","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"28","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"29","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"30","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"31","","2012-08","City of London Police","City of London Police",-0.092297,51.51895,"On or near Park/Open Space","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.234925905317543,"City of London",2012-08-01
"32","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"33","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"34","","2012-08","City of London Police","City of London Police",-0.089596,51.51874,"On or near New Union Street","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.0530660174939833,"City of London",2012-08-01
"35","","2012-08","City of London Police","City of London Police",-0.092297,51.51895,"On or near Park/Open Space","E01000002","City of London 001B","Anti-social behaviour","",NA,"Moorgate",0.234925905317543,"City of London",2012-08-01
"36","255abf8395a2ba2de85faa631adedca5ab6623fc48778764a827780816f8ae40","2012-08","City of London Police","City of London Police",-0.092628,51.51792,"On or near St Alphage Garden","E01000002","City of London 001B","Drugs","Offender given a drugs possession warning",NA,"Moorgate",0.257312744658394,"City of London",2012-08-01
"37","4b9c3fa958a493e0d89dff99c9de5b405a74cd47c1a82a94b062d41023b01fe1","2012-08","City of London Police","City of London Police",-0.090348,51.51936,"On or near Moor Lane","E01000002","City of London 001B","Drugs","Offender given a drugs possession warning",NA,"Moorgate",0.138518004253858,"City of London",2012-08-01
"38","869fa8ab5e51097ba21f1fc0f377af8004d22db60c23e1b679503765d940e14c","2012-08","City of London Police","City of London Police",-0.090348,51.51936,"On or near Moor Lane","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.138518004253858,"City of London",2012-08-01
"39","11bb5e13a1864ef1aa63b05db4040abf665f8aa41252fd9baf062ab4d9b0af6c","2012-08","City of London Police","City of London Police",-0.092517,51.52058,"On or near Whitecross Street","E01000002","City of London 001B","Other theft","Offender given a caution",NA,"Moorgate",0.340412420443677,"City of London",2012-08-01
"40","04fafe439b009c775e0d7b537562905462d8ef8c8d7f41265759d026ba4d7f8f","2012-08","City of London Police","City of London Police",-0.090348,51.51936,"On or near Moor Lane","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.138518004253858,"City of London",2012-08-01
"41","4b03016758c9ed5829f1d67d4c6790abafe63aaaf097d861f510382190f46046","2012-08","City of London Police","City of London Police",-0.093057,51.52009,"On or near Theatre/Concert Hall","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.335333223227596,"City of London",2012-08-01
"42","08c4f9ec8b08d354a30b3e3014b44ca297696301314737c7c4c2e1a3c7870607","2012-08","City of London Police","City of London Police",-0.093057,51.52009,"On or near Theatre/Concert Hall","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.335333223227596,"City of London",2012-08-01
"43","14e3ca3fa8f01f09c241ce4f659a47821eedf636976431807eae56624d7617d8","2012-08","City of London Police","City of London Police",-0.094115,51.5165,"On or near Wood Street","E01000002","City of London 001B","Other theft","Offender given a caution",NA,"St. Pauls",0.301625329028494,"City of London",2012-08-01
"44","7fcde3d7ff2fbb3c574247f2dffc9870f05486cdd42bea0bd85e41296cbbb8bd","2012-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.0333621187463616,"City of London",2012-08-01
"45","cd2a1bbbfa142e09890a85a57d4d73eb4101970ea0e613e988851272f5426891","2012-08","City of London Police","City of London Police",-0.090348,51.51936,"On or near Moor Lane","E01000002","City of London 001B","Other theft","Investigation complete; no suspect identified",NA,"Moorgate",0.138518004253858,"City of London",2012-08-01
