"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","","2012-07","City of London Police","City of London Police",-0.107607,51.51784,"On or near A40","E01000917","Camden 027C","Anti-social behaviour","",NA,"Farringdon",0.324914100896278,"Camden",2012-07-01
"2","","2012-07","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Anti-social behaviour","",NA,"Chancery Lane",0.0428262853097868,"Camden",2012-07-01
"3","af844ea36a06de340fec20580834f8e1511ebcd6cd13ebe286ca7052f2c2b2fc","2012-07","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Other theft","Under investigation",NA,"Chancery Lane",0.0428262853097868,"Camden",2012-07-01
"4","4f4f8a4c610768b70ce571f327ff8dddcfc465098d941524d766b86e13fc2854","2012-07","City of London Police","City of London Police",-0.113767,51.51737,"On or near Stone Buildings","E01000914","Camden 028B","Public disorder and weapons","Offender sent to prison",NA,"Chancery Lane",0.177396832005854,"Camden",2012-07-01
"5","","2012-07","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-07-01
"6","","2012-07","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-07-01
"7","","2012-07","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-07-01
"8","","2012-07","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-07-01
"9","","2012-07","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-07-01
"10","","2012-07","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.151036284394236,"City of London",2012-07-01
"11","","2012-07","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-07-01
"12","","2012-07","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-07-01
"13","","2012-07","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-07-01
"14","ae67ad97b30fb5a5343fdc3f520b6746b57fccc105ee372cb2790c64aa6b145a","2012-07","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Burglary","Investigation complete; no suspect identified",NA,"Barbican",0.152832989295049,"City of London",2012-07-01
"15","27097188461d61ac4ff191b1bdef04d4f0cdce80b982997c69b8efa5173f4f59","2012-07","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Burglary","Investigation complete; no suspect identified",NA,"Barbican",0.152832989295049,"City of London",2012-07-01
"16","4f7f2811e5b88f4ab0977e8035fa7dbc4623215d2b6d9519cb3c3af28ff94182","2012-07","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Burglary","Under investigation",NA,"Barbican",0.152832989295049,"City of London",2012-07-01
"17","d05bdae4451658c94c10d421aa7064b6864490eb9240a12350a7ef9277ebf0a5","2012-07","City of London Police","City of London Police",-0.096348,51.51547,"On or near Foster Lane","E01000001","City of London 001A","Burglary","Offender sent to prison",NA,"St. Pauls",0.109430319116701,"City of London",2012-07-01
"18","8d670bed1430ac127c3ebb67cb117dd80fd59d8e38912f7444723ce0c2f27535","2012-07","City of London Police","City of London Police",-0.095892,51.51639,"On or near Noble Street","E01000001","City of London 001A","Burglary","Court result unavailable",NA,"St. Pauls",0.207732584413019,"City of London",2012-07-01
"19","18d57f48bc1bb3835f36d0880fcb96f3ebee0e73a7e35bd18f939bef63f7b179","2012-07","City of London Police","City of London Police",-0.096348,51.51547,"On or near Foster Lane","E01000001","City of London 001A","Burglary","Offender sent to prison",NA,"St. Pauls",0.109430319116701,"City of London",2012-07-01
"20","340b757907aabd3920e0bde5dab7c7cdf8819916ef5399be5c733c43c1cbb123","2012-07","City of London Police","City of London Police",-0.096348,51.51547,"On or near Foster Lane","E01000001","City of London 001A","Burglary","Offender sent to prison",NA,"St. Pauls",0.109430319116701,"City of London",2012-07-01
"21","6f7e802f291471409d937d3f4593b6f8efaddbdccc25b55802eda4f8fcf22055","2012-07","City of London Police","City of London Police",-0.096348,51.51547,"On or near Foster Lane","E01000001","City of London 001A","Burglary","Offender sent to prison",NA,"St. Pauls",0.109430319116701,"City of London",2012-07-01
"22","9b3cd0edd26a48b2bc0303fa156eed6fe327514b02ed4889cf4da37e8365f153","2012-07","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Criminal damage and arson","Investigation complete; no suspect identified",NA,"Barbican",0.152832989295049,"City of London",2012-07-01
"23","5f8e79146f6c8c3b82d50025f511fab543fc2b267405f13a3d8e4a25976903f6","2012-07","City of London Police","City of London Police",-0.095892,51.51639,"On or near Noble Street","E01000001","City of London 001A","Criminal damage and arson","Court result unavailable",NA,"St. Pauls",0.207732584413019,"City of London",2012-07-01
