"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-04","British Transport Police","British Transport Police",-0.271604,50.8344,"On or near Shoreham By Sea","E01031365","Adur 002D","Vehicle crime",NA,NA,"Tadworth",50.9022864458768,"Adur",2011-04-01
"2",NA,"2011-04","British Transport Police","British Transport Police",-0.271604,50.8344,"On or near Shoreham By Sea","E01031365","Adur 002D","Violent crime",NA,NA,"Tadworth",50.9022864458768,"Adur",2011-04-01
"3",NA,"2011-04","British Transport Police","British Transport Police",-0.219532,50.8343,"On or near Fishersgate","E01031348","Adur 004B","Anti-social behaviour",NA,NA,"Tadworth",50.8655512550796,"Adur",2011-04-01
"4",NA,"2011-04","British Transport Police","British Transport Police",-0.640432,50.8308,"On or near Barnham","E01031393","Arun 003A","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.9871291681288,"Arun",2011-04-01
"5",NA,"2011-04","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Vehicle crime",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-04-01
"6",NA,"2011-04","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Robbery",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-04-01
"7",NA,"2011-04","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-04-01
"8",NA,"2011-04","British Transport Police","British Transport Police",-1.2456,53.11412,"On or near Sutton Parkway","E01027954","Ashfield 007D","Anti-social behaviour",NA,NA,"Chesham",162.442108993859,"Ashfield",2011-04-01
"9",NA,"2011-04","British Transport Police","British Transport Police",-1.19628,53.0381,"On or near Hucknall","E01027931","Ashfield 013B","Anti-social behaviour",NA,NA,"Chesham",153.417316234405,"Ashfield",2011-04-01
"10",NA,"2011-04","British Transport Police","British Transport Police",-0.815362,51.8136,"On or near Aylesbury","E01017712","Aylesbury Vale 018D","Vehicle crime",NA,NA,"Chesham",18.4887986231745,"Aylesbury Vale",2011-04-01
"11",NA,"2011-04","British Transport Police","British Transport Police",0.165776,51.5442,"On or near Dagenham East","E01000036","Barking and Dagenham 010B","Anti-social behaviour",NA,NA,"Dagenham East",0.00516490048069272,"Barking and Dagenham",2011-04-01
"12",NA,"2011-04","British Transport Police","British Transport Police",0.165776,51.5442,"On or near Dagenham East","E01000036","Barking and Dagenham 010B","Robbery",NA,NA,"Dagenham East",0.00516490048069272,"Barking and Dagenham",2011-04-01
"13",NA,"2011-04","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-04-01
"14",NA,"2011-04","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-04-01
"15",NA,"2011-04","British Transport Police","British Transport Police",0.080333,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.0355586765323643,"Barking and Dagenham",2011-04-01
"16",NA,"2011-04","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-04-01
"17",NA,"2011-04","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-04-01
"18",NA,"2011-04","British Transport Police","British Transport Police",-0.27477,51.6136,"On or near Edgware","E01000194","Barnet 018C","Violent crime",NA,NA,"Edgware",0.0731977071928867,"Barnet",2011-04-01
"19",NA,"2011-04","British Transport Police","British Transport Police",-0.164847,51.5872,"On or near East Finchley","E01000182","Barnet 029E","Violent crime",NA,NA,"East Finchley",0.0168295190545081,"Barnet",2011-04-01
"20",NA,"2011-04","British Transport Police","British Transport Police",-0.226465,51.5833,"On or near Hendon Central","E01000237","Barnet 032A","Other crime",NA,NA,"Hendon Central",0.0255781870867079,"Barnet",2011-04-01
"21",NA,"2011-04","British Transport Police","British Transport Police",-0.239014,51.5802,"On or near Hendon","E01000313","Barnet 036F","Burglary",NA,NA,"Hendon",0.0308079480859153,"Barnet",2011-04-01
"22",NA,"2011-04","British Transport Police","British Transport Police",-0.194282,51.5723,"On or near Golders Green","E01000214","Barnet 038E","Anti-social behaviour",NA,NA,"Golders Green",0.0383576743044632,"Barnet",2011-04-01
"23",NA,"2011-04","British Transport Police","British Transport Police",-0.194282,51.5723,"On or near Golders Green","E01000214","Barnet 038E","Anti-social behaviour",NA,NA,"Golders Green",0.0383576743044632,"Barnet",2011-04-01
"24",NA,"2011-04","British Transport Police","British Transport Police",-0.194282,51.5723,"On or near Golders Green","E01000214","Barnet 038E","Violent crime",NA,NA,"Golders Green",0.0383576743044632,"Barnet",2011-04-01
"25",NA,"2011-04","British Transport Police","British Transport Police",-3.22603,54.1191,"On or near Barrow In Furness","E01019156","Barrow-in-Furness 004A","Anti-social behaviour",NA,NA,"Chesham",320.532543043821,"Barrow-in-Furness",2011-04-01
"26",NA,"2011-04","British Transport Police","British Transport Police",0.423792,51.5677,"On or near Laindon","E01021286","Basildon 016A","Vehicle crime",NA,NA,"Shenfield",9.55721806670043,"Basildon",2011-04-01
"27",NA,"2011-04","British Transport Police","British Transport Police",0.45669,51.5681,"On or near Basildon","E01021296","Basildon 020C","Violent crime",NA,NA,"Shenfield",11.1951083534373,"Basildon",2011-04-01
"28",NA,"2011-04","British Transport Police","British Transport Police",-1.08787,51.2685,"On or near Basingstoke","E01032842","Basingstoke and Deane 011E","Anti-social behaviour",NA,NA,"Amersham",56.0892236414073,"Basingstoke and Deane",2011-04-01
"29",NA,"2011-04","British Transport Police","British Transport Police",-1.08787,51.2685,"On or near Basingstoke","E01032842","Basingstoke and Deane 011E","Violent crime",NA,NA,"Amersham",56.0892236414073,"Basingstoke and Deane",2011-04-01
