"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","","2012-03","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Anti-social behaviour","",NA,"Chancery Lane",0.0428262853097868,"Camden",2012-03-01
"2","345fca18be81e21c2f19f90881acd1ee5aa138d233baa62e2476d6bd604f8045","2012-03","City of London Police","City of London Police",-0.113767,51.51737,"On or near Stone Buildings","E01000914","Camden 028B","Public disorder and weapons","Offender given a caution",NA,"Chancery Lane",0.177396832005854,"Camden",2012-03-01
"3","","2012-03","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.151036284394236,"City of London",2012-03-01
"4","","2012-03","City of London Police","City of London Police",-0.095914,51.52035,"On or near Beech Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.124969561709825,"City of London",2012-03-01
"5","","2012-03","City of London Police","City of London Police",-0.095914,51.52035,"On or near Beech Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.124969561709825,"City of London",2012-03-01
"6","","2012-03","City of London Police","City of London Police",-0.09596,51.51753,"On or near London Wall","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.319354214797925,"City of London",2012-03-01
"7","","2012-03","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.05621740875793,"City of London",2012-03-01
"8","","2012-03","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.151036284394236,"City of London",2012-03-01
"9","","2012-03","City of London Police","City of London Police",-0.095892,51.51639,"On or near Noble Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.207732584413019,"City of London",2012-03-01
"10","","2012-03","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.05621740875793,"City of London",2012-03-01
"11","","2012-03","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-03-01
"12","357232841289c34cddaaf1e5428a792f42781fe50afa2dbfc57ed5626020ca0f","2012-03","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Burglary","",NA,"Barbican",0.152832989295049,"City of London",2012-03-01
"13","42c85ff97a35a091e8b1ecc20674910b845df12260221801ccee056e61f061a0","2012-03","City of London Police","City of London Police",-0.098572,51.51677,"On or near King Edward Street","E01000001","City of London 001A","Burglary","",NA,"St. Pauls",0.226311513076327,"City of London",2012-03-01
"14","cd90941043ed28481e125e4ca362a581c388a53b8801ed4b964d922b02908067","2012-03","City of London Police","City of London Police",-0.097053,51.51826,"On or near Aldersgate Street","E01000001","City of London 001A","Criminal damage and arson","Suspect charged as part of another case",NA,"Barbican",0.222080352543544,"City of London",2012-03-01
"15","cc25de3f139e89c3c3ad4c8413c9608180edbc4af7484d4db1a7c81363bc2903","2012-03","City of London Police","City of London Police",-0.098642,51.51715,"On or near Little Britain","E01000001","City of London 001A","Drugs","Investigation complete; no suspect identified",NA,"St. Pauls",0.268116505926786,"City of London",2012-03-01
"16","52fac1c48bd2b3744b480af320d0bf3ff990b694c74b9831ec9efbb50743d2f1","2012-03","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Drugs","Offender given a caution",NA,"Barbican",0.152832989295049,"City of London",2012-03-01
"17","1135a7d078a83507d155e3e6b76be10a85635f871340a7e4dca7a5937804fa9e","2012-03","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.151036284394236,"City of London",2012-03-01
"18","fb4e4be6c30f1d4c7404459dc47ed5295d8a608419abb86a873d9a011630a976","2012-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2012-03-01
"19","4f187f4c43b4bd81c682fe9ca7f95dbbd43d78bfe1878b3a8d5bcbdb99aa3370","2012-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Offender sent to prison",NA,"Barbican",0.054395010896171,"City of London",2012-03-01
"20","49967133cfa129063a8179d47eb9df1fde17c6940167ad7f6181ef2c39337995","2012-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2012-03-01
"21","b72ee62ee9cb8fd06c5f73b0ab3fc909c900ed030c9fd81f8b948e8fd4396549","2012-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2012-03-01
"22","b18c6a389b0cd15ec7797b74ba57e90ef4a934605ab03bc9e4f07b3e51f975d6","2012-03","City of London Police","City of London Police",-0.098572,51.51677,"On or near King Edward Street","E01000001","City of London 001A","Other theft","Offender sent to prison",NA,"St. Pauls",0.226311513076327,"City of London",2012-03-01
"23","c07273aac98f2f6b0bfa145ac38926cd822fb8f20e47ec078b89c5e4531574d1","2012-03","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Other theft","",NA,"Barbican",0.151036284394236,"City of London",2012-03-01
"24","ed99f905e86c16d3f85d434fe9dbda6527d602586924885bddc17e4ab4432504","2012-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.054395010896171,"City of London",2012-03-01
"25","aa0190e64e0ee0a8aaf870537f2047eda239bed1b16a5130a1c10315a21a476a","2012-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.054395010896171,"City of London",2012-03-01
"26","6f8e3123ce9e006696cfd940e4f7e0aae63863122e7e674bb96f3df2e76a74ab","2012-03","City of London Police","City of London Police",-0.095892,51.51639,"On or near Noble Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"St. Pauls",0.207732584413019,"City of London",2012-03-01
"27","6079471fe18dc407ddae91fe29b8cbc9e2240b25d3892fc23c7c64086708f61e","2012-03","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.151036284394236,"City of London",2012-03-01
