"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-08","City of London Police","City of London Police",-0.107637,51.51783,"On or near Holborn Viaduct","E01000917","Camden 027C","Other crime",NA,NA,"Farringdon",0.327040265503644,"Camden",2011-08-01
"2",NA,"2011-08","City of London Police","City of London Police",-0.112226,51.51907,"On or near South Square","E01000914","Camden 028B","Anti-social behaviour",NA,NA,"Chancery Lane",0.0668788148761576,"Camden",2011-08-01
"3",NA,"2011-08","City of London Police","City of London Police",-0.112952,51.51827,"On or near Southampton Buildings","E01000914","Camden 028B","Other crime",NA,NA,"Chancery Lane",0.0738256265685589,"Camden",2011-08-01
"4",NA,"2011-08","City of London Police","City of London Police",-0.112952,51.51827,"On or near Southampton Buildings","E01000914","Camden 028B","Other crime",NA,NA,"Chancery Lane",0.0738256265685589,"Camden",2011-08-01
"5",NA,"2011-08","City of London Police","City of London Police",-0.112952,51.51827,"On or near Southampton Buildings","E01000914","Camden 028B","Other crime",NA,NA,"Chancery Lane",0.0738256265685589,"Camden",2011-08-01
"6",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"7",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"8",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Burglary",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"9",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Vehicle crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"10",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Vehicle crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"11",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Violent crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"12",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Violent crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"13",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"14",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"15",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"16",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"17",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"18",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"19",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"20",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"21",NA,"2011-08","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other crime",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-08-01
"22",NA,"2011-08","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other crime",NA,NA,"Barbican",0.110441798613226,"City of London",2011-08-01
"23",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"24",NA,"2011-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0333621187463616,"City of London",2011-08-01
"25",NA,"2011-08","City of London Police","City of London Police",-0.093948,51.51808,"On or near Monkwell Square","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Barbican",0.352176028069231,"City of London",2011-08-01
"26",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"27",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"28",NA,"2011-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0333621187463616,"City of London",2011-08-01
"29",NA,"2011-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0333621187463616,"City of London",2011-08-01
"30",NA,"2011-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Moorgate",0.0333621187463616,"City of London",2011-08-01
"31",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Anti-social behaviour",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"32",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Burglary",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"33",NA,"2011-08","City of London Police","City of London Police",-0.092093,51.51692,"On or near Basinghall Street","E01000002","City of London 001B","Vehicle crime",NA,NA,"Moorgate",0.272332925296904,"City of London",2011-08-01
"34",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Violent crime",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"35",NA,"2011-08","City of London Police","City of London Police",-0.094115,51.5165,"On or near Wood Street","E01000002","City of London 001B","Other crime",NA,NA,"St. Pauls",0.301625329028494,"City of London",2011-08-01
"36",NA,"2011-08","City of London Police","City of London Police",-0.088621,51.51862,"On or near Moorfields","E01000002","City of London 001B","Other crime",NA,NA,"Moorgate",0.0333621187463616,"City of London",2011-08-01
"37",NA,"2011-08","City of London Police","City of London Police",-0.093948,51.51808,"On or near Monkwell Square","E01000002","City of London 001B","Other crime",NA,NA,"Barbican",0.352176028069231,"City of London",2011-08-01
"38",NA,"2011-08","City of London Police","City of London Police",-0.094094,51.51561,"On or near Gresham Street","E01000002","City of London 001B","Other crime",NA,NA,"Mansion House",0.391259056583987,"City of London",2011-08-01
"39",NA,"2011-08","City of London Police","City of London Police",-0.095757,51.52101,"On or near Bridgewater Square","E01000003","City of London 001C","Anti-social behaviour",NA,NA,"Barbican",0.161291622684948,"City of London",2011-08-01
"40",NA,"2011-08","City of London Police","City of London Police",-0.095757,51.52101,"On or near Bridgewater Square","E01000003","City of London 001C","Anti-social behaviour",NA,NA,"Barbican",0.161291622684948,"City of London",2011-08-01
"41",NA,"2011-08","City of London Police","City of London Police",-0.095757,51.52101,"On or near Bridgewater Square","E01000003","City of London 001C","Anti-social behaviour",NA,NA,"Barbican",0.161291622684948,"City of London",2011-08-01
