"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-10","City of London Police","City of London Police",-0.112226,51.51907,"On or near South Square","E01000914","Camden 028B","Anti-social behaviour",NA,NA,"Chancery Lane",0.0668788148761576,"Camden",2011-10-01
"2",NA,"2011-10","City of London Police","City of London Police",-0.112952,51.51827,"On or near Southampton Buildings","E01000914","Camden 028B","Other theft",NA,NA,"Chancery Lane",0.0738256265685589,"Camden",2011-10-01
"3",NA,"2011-10","City of London Police","City of London Police",-0.112952,51.51827,"On or near Southampton Buildings","E01000914","Camden 028B","Public disorder and weapons",NA,NA,"Chancery Lane",0.0738256265685589,"Camden",2011-10-01
"4",NA,"2011-10","City of London Police","City of London Police",-0.113767,51.51737,"On or near Stone Buildings","E01000914","Camden 028B","Robbery",NA,NA,"Chancery Lane",0.177396832005854,"Camden",2011-10-01
"5",NA,"2011-10","City of London Police","City of London Police",-0.121381,51.51658,"On or near Newton Street","E01000918","Camden 028C","Other theft",NA,NA,"Holborn",0.129971516388608,"Camden",2011-10-01
"6",NA,"2011-10","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Anti-social behaviour",NA,NA,"Barbican",0.110441798613226,"City of London",2011-10-01
"7",NA,"2011-10","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Criminal damage and arson",NA,NA,"Barbican",0.110441798613226,"City of London",2011-10-01
"8",NA,"2011-10","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Drugs",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-10-01
"9",NA,"2011-10","City of London Police","City of London Police",-0.098519,51.51733,"On or near Little Britain","E01000001","City of London 001A","Other theft",NA,NA,"St. Pauls",0.285278915535343,"City of London",2011-10-01
"10",NA,"2011-10","City of London Police","City of London Police",-0.09717,51.51928,"On or near Aldersgate Street","E01000001","City of London 001A","Other theft",NA,NA,"Barbican",0.110441798613226,"City of London",2011-10-01
