"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","","2013-03","City of London Police","City of London Police",-0.114954,51.51863,"On or near Brownlow Street","E01000914","Camden 028B","Anti-social behaviour","",NA,"Chancery Lane",0.208567180056594,"Camden",2013-03-01
"2","","2013-03","City of London Police","City of London Police",-0.116966,51.5181,"On or near Race Track","E01000914","Camden 028B","Anti-social behaviour","",NA,"Holborn",0.219999751738636,"Camden",2013-03-01
"3","f0a012b24a69992e09574310e8b2972c59cc308a10c3bc3fb4e966c20dc152f0","2013-03","City of London Police","City of London Police",-0.113274,51.51638,"On or near Old Buildings","E01000914","Camden 028B","Other theft","Investigation complete; no suspect identified",NA,"Chancery Lane",0.252350480500189,"Camden",2013-03-01
"4","31b819c18e5383efb427a9a400b778354f488b10616b2509fffede870d5d5f45","2013-03","City of London Police","City of London Police",-0.111497,51.51823,"On or near Pedestrian Subway","E01000914","Camden 028B","Other theft","Investigation complete; no suspect identified",NA,"Chancery Lane",0.0428262853097868,"Camden",2013-03-01
"5","8d4361db5d4ea2c2c11ec7b5c414e44489fd6696801c923d87fad0ee42a8105e","2013-03","City of London Police","City of London Police",-0.113256,51.51682,"On or near Old Square","E01000914","Camden 028B","Vehicle crime","Investigation complete; no suspect identified",NA,"Chancery Lane",0.206991425887413,"Camden",2013-03-01
"6","","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
"7","","2013-03","City of London Police","City of London Police",-0.097409,51.52114,"On or near Goswell Road","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.10487164566391,"City of London",2013-03-01
"8","","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
"9","","2013-03","City of London Police","City of London Police",-0.097409,51.52114,"On or near Goswell Road","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.10487164566391,"City of London",2013-03-01
"10","","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
"11","","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
"12","373f69580b80181304313bdd9c15d23bdc9525d32b1a6755052e8489ef86a9c0","2013-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Criminal damage and arson","Offender given a caution",NA,"Barbican",0.294058152011886,"City of London",2013-03-01
"13","4946e91440c2b71bf73f14ccafcc014c30581faeb07f0b9aac48190afa03f3b6","2013-03","City of London Police","City of London Police",-0.097409,51.52114,"On or near Goswell Road","E01000001","City of London 001A","Drugs","Offender given a drugs possession warning",NA,"Barbican",0.10487164566391,"City of London",2013-03-01
"14","d1067034306865e56bc444373bae0456062e289cd07cfeb766c7d2ecf0e06bd2","2013-03","City of London Police","City of London Police",-0.097409,51.52114,"On or near Goswell Road","E01000001","City of London 001A","Drugs","Court result unavailable",NA,"Barbican",0.10487164566391,"City of London",2013-03-01
"15","6e6c9ee536da5f224265256afa017ab2d87751c15c2f670c5780ffe92294f98a","2013-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2013-03-01
"16","8d10acca670d98cc50b4a819b744dc48501b5a3712f9e1721de08d1e7f8b0348","2013-03","City of London Police","City of London Police",-0.098642,51.51715,"On or near Little Britain","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"St. Pauls",0.268116505926786,"City of London",2013-03-01
"17","52ce534e083236be4c459a7052bc7a1749b4e4043e04664033f285b9309a6430","2013-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2013-03-01
"18","d5c9dd6a305fac468d923acc31adc392235c4456a334c5d1da4858a4edec03ff","2013-03","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.00207996269294924,"City of London",2013-03-01
"19","e1cd4f1c7e2f52058b272ff2b6ba12deecb7b86a7ae96ed3e97d5f374ce97d26","2013-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Under investigation",NA,"Barbican",0.294058152011886,"City of London",2013-03-01
"20","2dcd6639417e33f719a889be07a74ccdb22e59fb4109bb72363b22cad45ffc82","2013-03","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2013-03-01
"21","53fa0859f67ea4d71a4b6c3287d20229c2f737f3aaa9da653b2e4e707f1e1393","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
"22","beec2e8df6e70d1126d70d5f5c4da7c63d50336ef862b4370f7eb02596d3b18c","2013-03","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.054395010896171,"City of London",2013-03-01
