"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-03","British Transport Police","British Transport Police",-0.271604,50.8344,"On or near Shoreham By Sea","E01031365","Adur 002D","Violent crime",NA,NA,"Tadworth",50.9022864458768,"Adur",2011-03-01
"2",NA,"2011-03","British Transport Police","British Transport Police",-0.219532,50.8343,"On or near Fishersgate","E01031348","Adur 004B","Violent crime",NA,NA,"Tadworth",50.8655512550796,"Adur",2011-03-01
"3",NA,"2011-03","British Transport Police","British Transport Police",-0.323543,50.8272,"On or near Lancing","E01031342","Adur 008B","Violent crime",NA,NA,"Tadworth",52.0032214456209,"Adur",2011-03-01
"4",NA,"2011-03","British Transport Police","British Transport Police",-3.52093,54.6901,"On or near Flimby","E01019099","Allerdale 005D","Violent crime",NA,NA,"Chesham",384.253276001388,"Allerdale",2011-03-01
"5",NA,"2011-03","British Transport Police","British Transport Police",-1.36974,53.1007,"On or near Alfreton","E01019400","Amber Valley 001A","Anti-social behaviour",NA,NA,"Chesham",163.456635009791,"Amber Valley",2011-03-01
"6",NA,"2011-03","British Transport Police","British Transport Police",-1.36974,53.1007,"On or near Alfreton","E01019400","Amber Valley 001A","Other crime",NA,NA,"Chesham",163.456635009791,"Amber Valley",2011-03-01
"7",NA,"2011-03","British Transport Police","British Transport Police",-0.640432,50.8308,"On or near Barnham","E01031393","Arun 003A","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.9871291681288,"Arun",2011-03-01
"8",NA,"2011-03","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-03-01
"9",NA,"2011-03","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-03-01
"10",NA,"2011-03","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-03-01
"11",NA,"2011-03","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-03-01
"12",NA,"2011-03","British Transport Police","British Transport Police",-1.25325,53.1,"On or near Kirkby In Ashfield","E01027952","Ashfield 008A","Anti-social behaviour",NA,NA,"Chesham",161.069962818479,"Ashfield",2011-03-01
"13",NA,"2011-03","British Transport Police","British Transport Police",-0.815362,51.8136,"On or near Aylesbury","E01017712","Aylesbury Vale 018D","Violent crime",NA,NA,"Chesham",18.4887986231745,"Aylesbury Vale",2011-03-01
"14",NA,"2011-03","British Transport Police","British Transport Police",-0.942636,51.7711,"On or near Haddenham & Thame Parkway","E01017675","Aylesbury Vale 022A","Anti-social behaviour",NA,NA,"Chesham",23.9493311018639,"Aylesbury Vale",2011-03-01
"15",NA,"2011-03","British Transport Police","British Transport Police",0.126787,51.5403,"On or near Becontree","E01000075","Barking and Dagenham 012D","Robbery",NA,NA,"Becontree",0.0798090539857149,"Barking and Dagenham",2011-03-01
"16",NA,"2011-03","British Transport Police","British Transport Police",0.126787,51.5403,"On or near Becontree","E01000075","Barking and Dagenham 012D","Other crime",NA,NA,"Becontree",0.0798090539857149,"Barking and Dagenham",2011-03-01
"17",NA,"2011-03","British Transport Police","British Transport Police",0.126787,51.5403,"On or near Becontree","E01000075","Barking and Dagenham 012D","Other crime",NA,NA,"Becontree",0.0798090539857149,"Barking and Dagenham",2011-03-01
"18",NA,"2011-03","British Transport Police","British Transport Police",0.147617,51.5417,"On or near Dagenham Heathway","E01000013","Barking and Dagenham 013A","Anti-social behaviour",NA,NA,"Dagenham Heathway",0.0545499189130096,"Barking and Dagenham",2011-03-01
"19",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"20",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"21",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"22",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"23",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"24",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"25",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"26",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"27",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"28",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"29",NA,"2011-03","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Other crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-03-01
"30",NA,"2011-03","British Transport Police","British Transport Police",-0.194366,51.6506,"On or near High Barnet","E01000250","Barnet 001C","Anti-social behaviour",NA,NA,"High Barnet",0.121917147729515,"Barnet",2011-03-01
"31",NA,"2011-03","British Transport Police","British Transport Police",-0.194366,51.6506,"On or near High Barnet","E01000250","Barnet 001C","Violent crime",NA,NA,"High Barnet",0.121917147729515,"Barnet",2011-03-01
"32",NA,"2011-03","British Transport Police","British Transport Police",-0.209922,51.6083,"On or near Mill Hill East","E01000257","Barnet 017B","Violent crime",NA,NA,"Mill Hill East",0.00336825924953451,"Barnet",2011-03-01
"33",NA,"2011-03","British Transport Police","British Transport Police",-0.27477,51.6136,"On or near Edgware","E01000194","Barnet 018C","Anti-social behaviour",NA,NA,"Edgware",0.0731977071928867,"Barnet",2011-03-01
"34",NA,"2011-03","British Transport Police","British Transport Police",-0.250165,51.5954,"On or near Colindale","E01000155","Barnet 030D","Violent crime",NA,NA,"Colindale",0.0202682645851408,"Barnet",2011-03-01
"35",NA,"2011-03","British Transport Police","British Transport Police",-0.250165,51.5954,"On or near Colindale","E01000155","Barnet 030D","Violent crime",NA,NA,"Colindale",0.0202682645851408,"Barnet",2011-03-01
"36",NA,"2011-03","British Transport Police","British Transport Police",-0.250165,51.5954,"On or near Colindale","E01000155","Barnet 030D","Violent crime",NA,NA,"Colindale",0.0202682645851408,"Barnet",2011-03-01
"37",NA,"2011-03","British Transport Police","British Transport Police",-0.213042,51.5586,"On or near Cricklewood","E01000141","Barnet 039A","Violent crime",NA,NA,"Cricklewood",0.0403039479752531,"Barnet",2011-03-01
"38",NA,"2011-03","British Transport Police","British Transport Police",-3.22603,54.1191,"On or near Barrow In Furness","E01019156","Barrow-in-Furness 004A","Anti-social behaviour",NA,NA,"Chesham",320.532543043821,"Barrow-in-Furness",2011-03-01
"39",NA,"2011-03","British Transport Police","British Transport Police",0.41841,51.6288,"On or near Billericay","E01021247","Basildon 003E","Anti-social behaviour",NA,NA,"Shenfield",6.1089796759496,"Basildon",2011-03-01
"40",NA,"2011-03","British Transport Police","British Transport Police",0.45669,51.5681,"On or near Basildon","E01021296","Basildon 020C","Robbery",NA,NA,"Shenfield",11.1951083534373,"Basildon",2011-03-01
"41",NA,"2011-03","British Transport Police","British Transport Police",-1.08787,51.2685,"On or near Basingstoke","E01032842","Basingstoke and Deane 011E","Vehicle crime",NA,NA,"Amersham",56.0892236414073,"Basingstoke and Deane",2011-03-01
"42",NA,"2011-03","British Transport Police","British Transport Police",-1.08787,51.2685,"On or near Basingstoke","E01032842","Basingstoke and Deane 011E","Violent crime",NA,NA,"Amersham",56.0892236414073,"Basingstoke and Deane",2011-03-01
"43",NA,"2011-03","British Transport Police","British Transport Police",-1.08787,51.2685,"On or near Basingstoke","E01032842","Basingstoke and Deane 011E","Violent crime",NA,NA,"Amersham",56.0892236414073,"Basingstoke and Deane",2011-03-01
"44",NA,"2011-03","British Transport Police","British Transport Police",-0.947901,53.3151,"On or near Retford","E01028021","Bassetlaw 010E","Anti-social behaviour",NA,NA,"Chesham",180.434831897207,"Bassetlaw",2011-03-01
"45",NA,"2011-03","British Transport Police","British Transport Police",-0.947901,53.3151,"On or near Retford","E01028021","Bassetlaw 010E","Vehicle crime",NA,NA,"Chesham",180.434831897207,"Bassetlaw",2011-03-01
"46",NA,"2011-03","British Transport Police","British Transport Police",-2.35912,51.3784,"On or near Bath Spa","E01014371","Bath and North East Somerset 007B","Anti-social behaviour",NA,NA,"Amersham",125.623838172846,"Bath and North East Somerset",2011-03-01
"47",NA,"2011-03","British Transport Police","British Transport Police",-2.35912,51.3784,"On or near Bath Spa","E01014371","Bath and North East Somerset 007B","Anti-social behaviour",NA,NA,"Amersham",125.623838172846,"Bath and North East Somerset",2011-03-01
"48",NA,"2011-03","British Transport Police","British Transport Police",-2.35912,51.3784,"On or near Bath Spa","E01014371","Bath and North East Somerset 007B","Violent crime",NA,NA,"Amersham",125.623838172846,"Bath and North East Somerset",2011-03-01
"49",NA,"2011-03","British Transport Police","British Transport Police",-2.35912,51.3784,"On or near Bath Spa","E01014371","Bath and North East Somerset 007B","Violent crime",NA,NA,"Amersham",125.623838172846,"Bath and North East Somerset",2011-03-01
"50",NA,"2011-03","British Transport Police","British Transport Police",-2.35912,51.3784,"On or near Bath Spa","E01014371","Bath and North East Somerset 007B","Violent crime",NA,NA,"Amersham",125.623838172846,"Bath and North East Somerset",2011-03-01
