"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","44e831e5874fce2d5ed69314058c457a57b10507f0d722a80f5859d6eed5c85d","2012-06","City of London Police","City of London Police",-0.113767,51.51737,"On or near Stone Buildings","E01000914","Camden 028B","Other theft","Investigation complete; no suspect identified",NA,"Chancery Lane",0.177396832005854,"Camden",2012-06-01
"2","da8bf7cce6a42cae71ea05c8f4873a0a358d7d0bad824f10216371c8619834c8","2012-06","City of London Police","City of London Police",-0.113256,51.51682,"On or near Old Square","E01000914","Camden 028B","Other crime","Under investigation",NA,"Chancery Lane",0.206991425887413,"Camden",2012-06-01
"3","","2012-06","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Anti-social behaviour","",NA,"St. Pauls",0.05621740875793,"City of London",2012-06-01
"4","","2012-06","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-06-01
"5","","2012-06","City of London Police","City of London Police",-0.097736,51.52021,"On or near Conference/Exhibition Centre","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.00207996269294924,"City of London",2012-06-01
"6","","2012-06","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.151036284394236,"City of London",2012-06-01
"7","","2012-06","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-06-01
"8","b2672dcba85d7dcfbf6c5a2fb7ad5a46a4fcfc4f7dfec40afd8b3d9e6fb221a0","2012-06","City of London Police","City of London Police",-0.098023,51.51991,"On or near Long Lane","E01000001","City of London 001A","Burglary","Investigation complete; no suspect identified",NA,"Barbican",0.0403725735680709,"City of London",2012-06-01
"9","f64d32bddaa9ba8fe334d1887f1a8aeb654fea2f51af0abb60b9ab2d451546c1","2012-06","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.152832989295049,"City of London",2012-06-01
"10","6bbc7e2e752541dff846b47a2db787a85c53f09d8b956be671d12ed171eaccb6","2012-06","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"St. Pauls",0.05621740875793,"City of London",2012-06-01
"11","fb19667ae2f31311d9cbb8eacd95e5268c126be0a25bc8191e5e11ac579ddaab","2012-06","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Other theft","Under investigation",NA,"Barbican",0.152832989295049,"City of London",2012-06-01
"12","4d8bf0f48583ec1b0b65ae9e7d55ceb78549ae18e9376cdfa0b39af6cacd1b1e","2012-06","City of London Police","City of London Police",-0.097334,51.52157,"On or near Fann Street","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.152832989295049,"City of London",2012-06-01
"13","af9d8b02aa7086b303848a19bd08782f3af721a60b6b75c24b76004b195b9803","2012-06","City of London Police","City of London Police",-0.098023,51.51991,"On or near Long Lane","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"Barbican",0.0403725735680709,"City of London",2012-06-01
"14","bc7b4cf8550a92af5941cc69e15a3d6cef2a9fab4128a685a6bc6630a2af9805","2012-06","City of London Police","City of London Police",-0.09596,51.51753,"On or near London Wall","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"St. Pauls",0.319354214797925,"City of London",2012-06-01
"15","b26309cca39778e1a3996dcc4037f8272c8b86fdd6ebeb2bcd1233c1fe8c364e","2012-06","City of London Police","City of London Police",-0.097277,51.51531,"On or near St Martin'S Le Grand","E01000001","City of London 001A","Other theft","Investigation complete; no suspect identified",NA,"St. Pauls",0.05621740875793,"City of London",2012-06-01
