"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1",NA,"2011-08","British Transport Police","British Transport Police",-0.237124,50.8325,"On or near Southwick","E01031375","Adur 004G","Anti-social behaviour",NA,NA,"Tadworth",51.0527534331729,"Adur",2011-08-01
"2",NA,"2011-08","British Transport Police","British Transport Police",-0.237124,50.8325,"On or near Southwick","E01031375","Adur 004G","Vehicle crime",NA,NA,"Tadworth",51.0527534331729,"Adur",2011-08-01
"3",NA,"2011-08","British Transport Police","British Transport Police",-0.323543,50.8272,"On or near Lancing","E01031342","Adur 008B","Anti-social behaviour",NA,NA,"Tadworth",52.0032214456209,"Adur",2011-08-01
"4",NA,"2011-08","British Transport Police","British Transport Police",-3.5656,54.6134,"On or near Harrington","E01019100","Allerdale 011B","Violent crime",NA,NA,"Chesham",378.542768910195,"Allerdale",2011-08-01
"5",NA,"2011-08","British Transport Police","British Transport Police",-0.640432,50.8308,"On or near Barnham","E01031393","Arun 003A","Vehicle crime",NA,NA,"Cobham & Stoke D'Abernon",56.9871291681288,"Arun",2011-08-01
"6",NA,"2011-08","British Transport Police","British Transport Police",-0.640432,50.8308,"On or near Barnham","E01031393","Arun 003A","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.9871291681288,"Arun",2011-08-01
"7",NA,"2011-08","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Burglary",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-08-01
"8",NA,"2011-08","British Transport Police","British Transport Police",-0.488504,50.8164,"On or near Angmering","E01031415","Arun 005D","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",56.2451844675468,"Arun",2011-08-01
"9",NA,"2011-08","British Transport Police","British Transport Police",-0.546132,50.8102,"On or near Littlehampton","E01031428","Arun 011B","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",57.560100125464,"Arun",2011-08-01
"10",NA,"2011-08","British Transport Police","British Transport Police",-0.676509,50.7868,"On or near Bognor Regis","E01031444","Arun 016B","Anti-social behaviour",NA,NA,"Cobham & Stoke D'Abernon",62.4277587324211,"Arun",2011-08-01
"11",NA,"2011-08","British Transport Police","British Transport Police",-0.676509,50.7868,"On or near Bognor Regis","E01031444","Arun 016B","Violent crime",NA,NA,"Cobham & Stoke D'Abernon",62.4277587324211,"Arun",2011-08-01
"12",NA,"2011-08","British Transport Police","British Transport Police",0.87513,51.1433,"On or near Ashford","E01024027","Ashford 005D","Anti-social behaviour",NA,NA,"Chafford Hundred",55.8244941120004,"Ashford",2011-08-01
"13",NA,"2011-08","British Transport Police","British Transport Police",0.87513,51.1433,"On or near Ashford","E01024027","Ashford 005D","Violent crime",NA,NA,"Chafford Hundred",55.8244941120004,"Ashford",2011-08-01
"14",NA,"2011-08","British Transport Police","British Transport Police",0.874569,51.1431,"On or near Ashford International Ctrl","E01024027","Ashford 005D","Other crime",NA,NA,"Chafford Hundred",55.8112107829295,"Ashford",2011-08-01
"15",NA,"2011-08","British Transport Police","British Transport Police",0.854492,51.0683,"On or near Ham Street","E01024037","Ashford 014D","Anti-social behaviour",NA,NA,"Chafford Hundred",60.8942121579225,"Ashford",2011-08-01
"16",NA,"2011-08","British Transport Police","British Transport Police",-0.78444,51.7875,"On or near Stoke Mandeville","E01017631","Aylesbury Vale 021E","Vehicle crime",NA,NA,"Chesham",15.0092014605472,"Aylesbury Vale",2011-08-01
"17",NA,"2011-08","British Transport Police","British Transport Police",-0.747602,51.7618,"On or near Wendover","E01017727","Aylesbury Vale 024B","Vehicle crime",NA,NA,"Chesham",11.2833825445625,"Aylesbury Vale",2011-08-01
"18",NA,"2011-08","British Transport Police","British Transport Police",0.126787,51.5403,"On or near Becontree","E01000075","Barking and Dagenham 012D","Anti-social behaviour",NA,NA,"Becontree",0.0798090539857149,"Barking and Dagenham",2011-08-01
"19",NA,"2011-08","British Transport Police","British Transport Police",0.126787,51.5403,"On or near Becontree","E01000075","Barking and Dagenham 012D","Vehicle crime",NA,NA,"Becontree",0.0798090539857149,"Barking and Dagenham",2011-08-01
"20",NA,"2011-08","British Transport Police","British Transport Police",0.147617,51.5417,"On or near Dagenham Heathway","E01000013","Barking and Dagenham 013A","Anti-social behaviour",NA,NA,"Dagenham Heathway",0.0545499189130096,"Barking and Dagenham",2011-08-01
"21",NA,"2011-08","British Transport Police","British Transport Police",0.080333,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.0355586765323643,"Barking and Dagenham",2011-08-01
"22",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Anti-social behaviour",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"23",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Burglary",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"24",NA,"2011-08","British Transport Police","British Transport Police",0.080333,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Robbery",NA,NA,"Barking",0.0355586765323643,"Barking and Dagenham",2011-08-01
"25",NA,"2011-08","British Transport Police","British Transport Police",0.080333,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Robbery",NA,NA,"Barking",0.0355586765323643,"Barking and Dagenham",2011-08-01
"26",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"27",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"28",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"29",NA,"2011-08","British Transport Police","British Transport Police",0.080833,51.5395,"On or near Barking","E01000007","Barking and Dagenham 015A","Violent crime",NA,NA,"Barking",0.00251354802319521,"Barking and Dagenham",2011-08-01
"30",NA,"2011-08","British Transport Police","British Transport Police",-0.172823,51.6486,"On or near New Barnet","E01000171","Barnet 006B","Violent crime",NA,NA,"New Barnet",0.0115184128587564,"Barnet",2011-08-01
"31",NA,"2011-08","British Transport Police","British Transport Police",-0.179222,51.6306,"On or near Totteridge And Whetstone","E01000282","Barnet 008E","Anti-social behaviour",NA,NA,"Totteridge & Whetstone",0.0401135188082831,"Barnet",2011-08-01
