"","CrimeID","Month","Reportedby","Fallswithin","Longitude","Latitude","Location","LSOAcode","LSOAname","Crimetype","Lastoutcomecategory","Context","Station","StationDistance","LocalAuthority","ISOMonth"
"1","","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"2","","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"3","","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"4","","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"5","","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Anti-social behaviour","",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"6","5c0e98e76edac5c1705c58024cd6b2f836e286143aaf58135a216090cc11af42","2012-10","City of London Police","City of London Police",-0.098062,51.51758,"On or near Montague Street","E01000001","City of London 001A","Burglary","Investigation complete; no suspect identified",NA,"Barbican",0.294058152011886,"City of London",2012-10-01
"7","7e59cb4d7d8dfabaca708956093233b7c377cb69a76957a11dc148cfe58ea848","2012-10","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Criminal damage and arson","Investigation complete; no suspect identified",NA,"Barbican",0.151036284394236,"City of London",2012-10-01
"8","5255c3f06ef8a8a7e0f2bdf5b654925292b85437aebc7cf113376cfccc32f561","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Drugs","Offender given a drugs possession warning",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"9","bab26a8e9b57f04b95fe16b3d9c5937a74db783f4eb466c984012abce7aa6b80","2012-10","City of London Police","City of London Police",-0.097601,51.5207,"On or near Carthusian Street","E01000001","City of London 001A","Drugs","Offender given a drugs possession warning",NA,"Barbican",0.054395010896171,"City of London",2012-10-01
"10","89c14179672a50350d48b5afc4c55d9d7af51f43c65609917d0c3942d2977eb8","2012-10","City of London Police","City of London Police",-0.097562,51.51886,"On or near Parking Area","E01000001","City of London 001A","Drugs","Offender given a drugs possession warning",NA,"Barbican",0.151036284394236,"City of London",2012-10-01
