NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1415 Entries & Exits,1314 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 332,510 "," 435,776 "," 891,418 "," 1,659,704 "," 332,510 "," 435,776 "," 891,418 "," 1,659,704 "," 3,319,408 "," 3,282,240 ", -   ,0,0,,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 46,815 "," 3,371 "," 56,087 "," 106,273 "," 46,815 "," 3,371 "," 56,087 "," 106,273 "," 212,546 "," 219,868 ", -   ,0,0,,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 73,186 "," 6,716 "," 52,827 "," 132,729 "," 73,186 "," 6,716 "," 52,827 "," 132,729 "," 265,458 "," 251,688 "," 40,847 ",0,0,,,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 160,625 "," 19,037 "," 96,302 "," 275,964 "," 160,625 "," 19,037 "," 96,302 "," 275,964 "," 551,928 "," 557,992 ", -   ,0,0,,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,ScotRail,,,," 654,309 "," 891,364 "," 325,650 "," 1,871,323 "," 654,309 "," 891,364 "," 325,650 "," 1,871,323 "," 3,742,646 "," 3,600,268 "," 219,002 ",0,0,,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,ScotRail,,,," 19,038 "," 29,191 "," 16,508 "," 64,737 "," 19,038 "," 29,191 "," 16,508 "," 64,737 "," 129,474 "," 127,470 ", -   ,0,0,,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 14,127 "," 4,215 ", -   ," 18,342 "," 14,127 "," 4,215 ", -   ," 18,342 "," 36,684 "," 34,450 ", -   ,0,0,,,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 116 , 47 , -   , 163 , 116 , 47 , -   , 163 , 326 ," 1,380 ", -   ,0,1,Very small station - Cambrian Coast Line. closed at start of 14/15 FY north of Harlech - reopened Sep 2014,www.nwrail.org.uk,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,," 98,339 "," 66,950 "," 47,238 "," 212,527 "," 98,339 "," 66,950 "," 47,238 "," 212,527 "," 425,054 "," 389,762 ", -   ,0,0,,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 17,417 "," 15,742 "," 3,662 "," 36,821 "," 17,417 "," 15,742 "," 3,662 "," 36,821 "," 73,642 "," 81,152 ", -   ,0,0,,,
4303,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 62,398 "," 89,209 ", 262 ," 151,869 "," 62,398 "," 89,209 ", 262 ," 151,869 "," 303,738 "," 307,382 ", -   ,0,0,,,
2552,ACR,Accrington,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,," 114,204 "," 33,616 "," 43,519 "," 191,339 "," 114,204 "," 33,616 "," 43,519 "," 191,339 "," 382,678 "," 369,726 ", -   ,0,0,,,
8600,AAT,Achanalt,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,, 204 , 37 , -   , 241 , 204 , 37 , -   , 241 , 482 , 228 , -   ,0,1,Unclear - decline in usage across a number of Far North line stations,,
8601,ACN,Achnasheen,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,," 1,049 ", 812 , -   ," 1,861 "," 1,049 ", 812 , -   ," 1,861 "," 3,722 "," 3,972 ", -   ,0,0,,,
8602,ACH,Achnashellach,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,, 278 , 112 , 10 , 400 , 278 , 112 , 10 , 400 , 800 , 976 , -   ,0,0,,,
7662,ACK,Acklington,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,, 90 , 13 , -   , 103 , 90 , 13 , -   , 103 , 206 , 186 , -   ,0,0,,,
7286,ACL,Acle,East,Norfolk,Broadland,UKH1,East Anglia,Abellio Greater Anglia,,,," 7,490 "," 12,492 "," 4,056 "," 24,038 "," 7,490 "," 12,492 "," 4,056 "," 24,038 "," 48,076 "," 50,282 ", -   ,0,0,,,
4529,ACG,Acocks Green,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 52,862 "," 71,545 "," 89,333 "," 213,740 "," 52,862 "," 71,545 "," 89,333 "," 213,740 "," 427,480 "," 415,420 ", -   ,0,0,,,
2287,ACB,Acton Bridge,North West,Cheshire,Vale Royal,UKD2,Cheshire,London Midland Trains,,,," 5,238 "," 2,258 "," 1,247 "," 8,743 "," 5,238 "," 2,258 "," 1,247 "," 8,743 "," 17,486 "," 16,612 ", -   ,0,0,,,
1404,ACC,Acton Central,London,Greater London,Ealing,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 241,943 "," 326,388 "," 901,968 "," 1,470,299 "," 241,943 "," 326,388 "," 901,968 "," 1,470,299 "," 2,940,598 "," 2,837,592 ", -   ,0,0,,,
3000,AML,Acton Main Line,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station," 34,169 "," 34,820 "," 158,064 "," 227,053 "," 34,169 "," 34,820 "," 158,064 "," 227,053 "," 454,106 "," 442,054 ", -   ,0,0,,,
1036,ADD,Adderley Park,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 5,648 "," 6,405 "," 17,567 "," 29,620 "," 5,648 "," 6,405 "," 17,567 "," 29,620 "," 59,240 "," 61,388 ", -   ,0,0,,,
9310,ADW,Addiewell,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,ScotRail,,,," 3,249 "," 5,536 "," 2,322 "," 11,107 "," 3,249 "," 5,536 "," 2,322 "," 11,107 "," 22,214 "," 21,070 ", -   ,0,0,,,
5550,ASN,Addlestone,South East,Surrey,Runnymede,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 72,456 "," 51,996 "," 78,943 "," 203,395 "," 72,456 "," 51,996 "," 78,943 "," 203,395 "," 406,790 "," 381,748 ", -   ,0,0,,,
5160,ADM,Adisham,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 2,849 "," 3,737 "," 4,601 "," 11,187 "," 2,849 "," 3,737 "," 4,601 "," 11,187 "," 22,374 "," 24,058 ", -   ,0,0,,,
2939,ADC,Adlington (Cheshire),North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 5,106 "," 4,617 "," 1,864 "," 11,587 "," 5,106 "," 4,617 "," 1,864 "," 11,587 "," 23,174 "," 20,736 ", -   ,1,0,Reason for change unclear,,
2641,ADL,Adlington (Lancashire),North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,," 22,808 "," 14,184 "," 18,459 "," 55,451 "," 22,808 "," 14,184 "," 18,459 "," 55,451 "," 110,902 "," 109,672 ", -   ,0,0,,,
8353,AWK,Adwick,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,," 50,604 "," 25,411 "," 20,965 "," 96,980 "," 50,604 "," 25,411 "," 20,965 "," 96,980 "," 193,960 "," 180,132 ", -   ,0,0,,,
2255,AIG,Aigburth,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 93,374 "," 138,581 "," 141,437 "," 373,392 "," 93,374 "," 138,581 "," 141,437 "," 373,392 "," 746,784 "," 686,496 ", -   ,0,0,,,
2350,ANS,Ainsdale,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 127,859 "," 260,452 "," 103,618 "," 491,929 "," 127,859 "," 260,452 "," 103,618 "," 491,929 "," 983,858 "," 956,960 ", -   ,0,0,,,
2125,AIN,Aintree,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 148,293 "," 167,740 "," 226,141 "," 542,174 "," 148,293 "," 167,740 "," 226,141 "," 542,174 "," 1,084,348 "," 1,141,532 ", -   ,0,0,,,
9695,AIR,Airbles,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 19,358 "," 29,073 "," 11,133 "," 59,564 "," 19,358 "," 29,073 "," 11,133 "," 59,564 "," 119,128 "," 112,842 ", -   ,0,0,,,
9759,ADR,Airdrie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 126,490 "," 247,075 "," 178,530 "," 552,095 "," 126,490 "," 247,075 "," 178,530 "," 552,095 "," 1,104,190 "," 1,079,710 ", -   ,0,0,,,
5132,AYP,Albany Park,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 100,475 "," 104,204 "," 319,486 "," 524,165 "," 100,475 "," 104,204 "," 319,486 "," 524,165 "," 1,048,330 "," 990,096 ", -   ,0,0,,,
4614,ALB,Albrighton,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,,," 11,672 "," 14,736 "," 18,297 "," 44,705 "," 11,672 "," 14,736 "," 18,297 "," 44,705 "," 89,410 "," 89,358 ", -   ,0,0,,,
2760,ALD,Alderley Edge,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 45,630 "," 44,140 "," 27,317 "," 117,087 "," 45,630 "," 44,140 "," 27,317 "," 117,087 "," 234,174 "," 230,422 ", -   ,0,0,,,
3145,AMT,Aldermaston,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 9,012 "," 15,084 "," 13,327 "," 37,423 "," 9,012 "," 15,084 "," 13,327 "," 37,423 "," 74,846 "," 77,452 ", -   ,0,0,,,
5623,AHT,Aldershot,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 212,310 "," 280,898 "," 223,917 "," 717,125 "," 212,310 "," 280,898 "," 223,917 "," 717,125 "," 1,434,250 "," 1,401,204 "," 140,504 ",0,0,,,
5280,AGT,Aldrington,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,,,," 24,634 "," 48,572 "," 40,396 "," 113,602 "," 24,634 "," 48,572 "," 40,396 "," 113,602 "," 227,204 "," 226,936 ", -   ,0,0,,,
6025,AAP,Alexandra Palace,London,Greater London,Haringey,UKI1,Inner London,Govia Thameslink Railway,,,London Travelcard Area Station," 168,810 "," 200,905 "," 340,211 "," 709,926 "," 168,810 "," 200,905 "," 340,211 "," 709,926 "," 1,419,852 "," 1,282,462 "," 43,895 ",1,0,Steady growth trend,,
9905,AXP,Alexandra Parade,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 40,334 "," 54,797 "," 41,104 "," 136,235 "," 40,334 "," 54,797 "," 41,104 "," 136,235 "," 272,470 "," 245,666 ", -   ,1,0,May 2014 saw more services introduced between Glasgow and Cumbernauld,,
9861,ALX,Alexandria,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 41,089 "," 72,144 "," 66,704 "," 179,937 "," 41,089 "," 72,144 "," 66,704 "," 179,937 "," 359,874 "," 347,056 ", -   ,0,0,,,
1805,ALF,Alfreton,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 56,291 "," 57,546 "," 21,012 "," 134,849 "," 56,291 "," 57,546 "," 21,012 "," 134,849 "," 269,698 "," 241,066 ", -   ,1,0,Rebound following Nottingham Engineering work,,
7520,ALW,Allen's West,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,Northern Rail,,,," 20,430 "," 3,064 "," 6,164 "," 29,658 "," 20,430 "," 3,064 "," 6,164 "," 29,658 "," 59,316 "," 59,166 ", -   ,0,0,,,
9883,ALO,Alloa,Scotland,Clackmannan,Clackmannan,UKM2,Eastern Scotland,ScotRail,,,," 49,647 "," 112,652 "," 38,902 "," 201,201 "," 49,647 "," 112,652 "," 38,902 "," 201,201 "," 402,402 "," 383,788 ", -   ,0,0,,,
8605,ASS,Alness,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,," 8,870 "," 2,382 "," 1,715 "," 12,967 "," 8,870 "," 2,382 "," 1,715 "," 12,967 "," 25,934 "," 27,796 ", -   ,0,0,,,
7787,ALM,Alnmouth,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 54,425 "," 76,196 "," 21,931 "," 152,552 "," 54,425 "," 76,196 "," 21,931 "," 152,552 "," 305,104 "," 287,194 "," 1,404 ",0,0,,,
6847,ALR,Alresford,East,Essex,Tendring,UKH3,Essex,Abellio Greater Anglia,,,," 5,473 "," 6,889 "," 18,687 "," 31,049 "," 5,473 "," 6,889 "," 18,687 "," 31,049 "," 62,098 "," 57,480 ", -   ,0,0,,,
1223,ASG,Alsager,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,,,," 27,826 "," 12,352 "," 7,968 "," 48,146 "," 27,826 "," 12,352 "," 7,968 "," 48,146 "," 96,292 "," 98,046 ", -   ,0,0,,,
6869,ALN,Althorne,East,Essex,Maldon,UKH3,Essex,Abellio Greater Anglia,,,," 4,793 "," 4,982 "," 12,898 "," 22,673 "," 4,793 "," 4,982 "," 12,898 "," 22,673 "," 45,346 "," 43,006 ", -   ,0,0,,,
6532,ALP,Althorpe,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 1,575 "," 3,124 ", 344 ," 5,043 "," 1,575 "," 3,124 ", 344 ," 5,043 "," 10,086 "," 6,404 ", -   ,0,1,Possible reversal after Hatfield Colliery landslip,,
8606,ABC,Altnabreac,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,, 105 , 15 , -   , 120 , 105 , 15 , -   , 120 , 240 , 138 , -   ,0,1,Unclear - decline in usage across a number of Far North line stations,,
5544,AON,Alton,South East,Hampshire,East Hampshire,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 85,118 "," 125,549 "," 161,402 "," 372,069 "," 85,118 "," 125,549 "," 161,402 "," 372,069 "," 744,138 "," 697,306 ", -   ,0,0,,,
2806,ALT,Altrincham,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 41,689 "," 69,673 "," 92,556 "," 203,918 "," 41,689 "," 69,673 "," 92,556 "," 203,918 "," 407,836 "," 474,362 ", 70 ,1,0,May be linked to disruption due to redevelopment work at the station,http://www.messengernewspapers.co.uk/news/11651955.New_Altrincham_Interchange_opens_for_passenger_connections/?ref=mr,
1198,ALV,Alvechurch,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,,," 24,280 "," 10,389 "," 37,743 "," 72,412 "," 24,280 "," 10,389 "," 37,743 "," 72,412 "," 144,824 "," 159,572 ", -   ,0,0,,,
1678,AMB,Ambergate,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 6,682 "," 10,434 "," 2,445 "," 19,561 "," 6,682 "," 10,434 "," 2,445 "," 19,561 "," 39,122 "," 39,848 ", -   ,0,0,,,
5250,AMY,Amberley,South East,West Sussex,Horsham,UKJ2,"Surrey, East & West Sussex",Southern,,,," 5,094 "," 15,368 "," 8,728 "," 29,190 "," 5,094 "," 15,368 "," 8,728 "," 29,190 "," 58,380 "," 58,738 ", -   ,0,0,,,
506,AMR,Amersham,South East,Buckinghamshire,Chiltern,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Underground,,,," 387,878 "," 403,753 "," 275,358 "," 1,066,989 "," 387,878 "," 403,753 "," 275,358 "," 1,066,989 "," 2,133,978 "," 2,164,370 ", -   ,0,0,,,
4236,AMF,Ammanford,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 6,203 "," 3,757 ", 159 ," 10,119 "," 6,203 "," 3,757 ", 159 ," 10,119 "," 20,238 "," 19,912 ", -   ,0,0,,,
6358,ANC,Ancaster,East Midlands,Lincolnshire,South Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,," 2,350 ", 343 ," 2,262 "," 4,955 "," 2,350 ", 343 ," 2,262 "," 4,955 "," 9,910 "," 8,878 ", -   ,0,0,,,
9965,AND,Anderston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 77,101 "," 56,485 "," 183,248 "," 316,834 "," 77,101 "," 56,485 "," 183,248 "," 316,834 "," 633,668 "," 602,826 ", -   ,0,0,,,
5510,ADV,Andover,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 113,680 "," 247,366 "," 227,991 "," 589,037 "," 113,680 "," 247,366 "," 227,991 "," 589,037 "," 1,178,074 "," 1,179,202 "," 1,207 ",0,0,,,
5397,ANY,Anerley,London,Greater London,Bromley,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 103,394 "," 141,364 "," 135,487 "," 380,245 "," 103,394 "," 141,364 "," 135,487 "," 380,245 "," 760,490 "," 735,934 ", -   ,0,0,,,
6909,AGR,Angel Road,London,Greater London,Enfield,UKI2,Outer London,Abellio Greater Anglia,,,London Travelcard Area Station," 4,620 "," 1,867 "," 36,398 "," 42,885 "," 4,620 "," 1,867 "," 36,398 "," 42,885 "," 85,770 "," 83,714 ", -   ,0,0,,,
5267,ANG,Angmering,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 70,558 "," 222,486 "," 148,196 "," 441,240 "," 70,558 "," 222,486 "," 148,196 "," 441,240 "," 882,480 "," 883,150 ", -   ,0,0,,,
9451,ANN,Annan,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,ScotRail,,,," 7,145 "," 54,908 "," 1,350 "," 63,403 "," 7,145 "," 54,908 "," 1,350 "," 63,403 "," 126,806 "," 129,676 ", -   ,0,0,,,
9972,ANL,Anniesland,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 165,619 "," 233,678 "," 167,224 "," 566,521 "," 165,619 "," 233,678 "," 167,224 "," 566,521 "," 1,133,042 "," 1,066,714 ", -   ,0,0,,,
2662,AFV,Ansdell & Fairhaven,North West,Lancashire,Fylde,UKD4,Lancashire,Northern Rail,,,," 10,241 "," 5,970 "," 2,186 "," 18,397 "," 10,241 "," 5,970 "," 2,186 "," 18,397 "," 36,794 "," 41,812 ", -   ,1,0,Reason for change unclear - contunues decline from previous year,,
2052,APP,Appleby,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,," 24,623 "," 3,249 ", 667 ," 28,539 "," 24,623 "," 3,249 ", 667 ," 28,539 "," 57,078 "," 62,600 ", 3 ,0,0,,,
5003,APD,Appledore,South East,Kent,Ashford,UKJ4,Kent,Southern,,,," 3,273 "," 6,505 "," 8,954 "," 18,732 "," 3,273 "," 6,505 "," 8,954 "," 18,732 "," 37,464 "," 40,116 ", -   ,0,0,,,
3109,APF,Appleford,South East,Oxfordshire,Vale Of White Horse,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,, 986 ," 1,873 "," 1,010 "," 3,869 ", 986 ," 1,873 "," 1,010 "," 3,869 "," 7,738 "," 8,826 ", -   ,0,0,,,
2396,APB,Appley Bridge,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,," 19,046 "," 69,765 "," 32,706 "," 121,517 "," 19,046 "," 69,765 "," 32,706 "," 121,517 "," 243,034 "," 241,738 ", -   ,0,0,,,
1430,APS,Apsley,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,," 66,483 "," 76,792 "," 111,957 "," 255,232 "," 66,483 "," 76,792 "," 111,957 "," 255,232 "," 510,464 "," 486,374 ", -   ,0,0,,,
9079,ARB,Arbroath,Scotland,Angus,Angus,UKM2,Eastern Scotland,ScotRail,,,," 69,538 "," 87,044 "," 39,915 "," 196,497 "," 69,538 "," 87,044 "," 39,915 "," 196,497 "," 392,994 "," 388,664 ", 800 ,0,0,,,
8613,ARD,Ardgay,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,," 3,230 ", 658 , 320 ," 4,208 "," 3,230 ", 658 , 320 ," 4,208 "," 8,416 "," 8,806 ", -   ,0,0,,,
9962,AUI,Ardlui,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,ScotRail,,,," 1,077 "," 1,460 ", -   ," 2,537 "," 1,077 "," 1,460 ", -   ," 2,537 "," 5,074 "," 4,566 ", -   ,0,0,,,
9453,ADS,Ardrossan Harbour,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,ScotRail,ARDROSSAN BR,Strathclyde,," 35,167 "," 29,586 ", 138 ," 64,891 "," 35,167 "," 29,586 ", 138 ," 64,891 "," 129,782 "," 124,746 ", -   ,0,0,,,
9569,ASB,Ardrossan South Beach,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,ScotRail,ARDROSSAN BR,Strathclyde,," 25,290 "," 51,888 "," 32,415 "," 109,593 "," 25,290 "," 51,888 "," 32,415 "," 109,593 "," 219,186 "," 218,638 ", 372 ,0,0,,,
9455,ADN,Ardrossan Town,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,ScotRail,ARDROSSAN BR,Strathclyde,," 2,453 "," 5,137 "," 3,361 "," 10,951 "," 2,453 "," 5,137 "," 3,361 "," 10,951 "," 21,902 "," 21,208 ", -   ,0,0,,,
2960,ADK,Ardwick,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,, 138 , 102 , 31 , 271 , 138 , 102 , 31 , 271 , 542 , 568 , -   ,0,0,,,
9961,AGS,Argyle Street,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 163,848 "," 385,536 "," 169,814 "," 719,198 "," 163,848 "," 385,536 "," 169,814 "," 719,198 "," 1,438,396 "," 1,369,928 ", -   ,0,0,,,
8821,ARG,Arisaig,Scotland,Highland,Highland,UKM4,Highlands and Islands,ScotRail,,,," 2,178 "," 1,620 ", -   ," 3,798 "," 2,178 "," 1,620 ", -   ," 3,798 "," 7,596 "," 7,394 ", -   ,0,0,,,
6171,ARL,Arlesey,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,Govia Thameslink Railway,,,," 77,201 "," 103,982 "," 132,415 "," 313,598 "," 77,201 "," 103,982 "," 132,415 "," 313,598 "," 627,196 "," 562,732 ", -   ,1,0,Steady growth trend,,
990,ARM,Armadale,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,ScotRail,,,," 25,703 "," 34,703 "," 32,761 "," 93,167 "," 25,703 "," 34,703 "," 32,761 "," 93,167 "," 186,334 "," 164,696 ", -   ,1,0,Strong growth on North Glasgow lines,,
2054,AWT,Armathwaite,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,," 3,367 ", 434 , 92 ," 3,893 "," 3,367 ", 434 , 92 ," 3,893 "," 7,786 "," 8,130 ", -   ,0,0,,,
1963,ARN,Arnside,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,,,," 28,434 "," 21,270 "," 7,341 "," 57,045 "," 28,434 "," 21,270 "," 7,341 "," 57,045 "," 114,090 "," 115,464 ", -   ,0,0,,,
8045,ARR,Arram,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 149 , 395 , 444 , 988 , 149 , 395 , 444 , 988 ," 1,976 "," 1,900 ", -   ,0,0,,,
9963,ART,Arrochar & Tarbet,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,ScotRail,,,," 4,239 "," 2,171 ", 399 ," 6,809 "," 4,239 "," 2,171 ", 399 ," 6,809 "," 13,618 "," 10,662 ", -   ,1,0,Timetable improvement on the West Highland line - May 2014,,
5251,ARU,Arundel,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 19,496 "," 78,135 "," 54,599 "," 152,230 "," 19,496 "," 78,135 "," 54,599 "," 152,230 "," 304,460 "," 300,890 ", -   ,0,0,,,
5666,ACT,Ascot,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,," 201,823 "," 287,585 "," 123,467 "," 612,875 "," 201,823 "," 287,585 "," 123,467 "," 612,875 "," 1,225,750 "," 1,179,120 "," 318,852 ",0,0,,,
3003,AUW,Ascott-Under-Wychwood,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 1,519 ", 74 , 420 ," 2,013 "," 1,519 ", 74 , 420 ," 2,013 "," 4,026 "," 2,856 ", -   ,0,1,Reason for change unclear,,
5641,ASH,Ash,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 37,530 "," 45,092 "," 61,653 "," 144,275 "," 37,530 "," 45,092 "," 61,653 "," 144,275 "," 288,550 "," 274,754 "," 31,889 ",0,0,,,
5547,AHV,Ash Vale,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 57,046 "," 63,061 "," 117,124 "," 237,231 "," 57,046 "," 63,061 "," 117,124 "," 237,231 "," 474,462 "," 454,772 "," 136,286 ",0,0,,,
2941,ABY,Ashburys,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 11,996 "," 14,834 "," 18,921 "," 45,751 "," 11,996 "," 14,834 "," 18,921 "," 45,751 "," 91,502 "," 91,330 ", -   ,0,0,,,
4700,ASC,Ashchurch,South West,Gloucestershire,Tewkesbury,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 16,112 "," 17,263 "," 10,317 "," 43,692 "," 16,112 "," 17,263 "," 10,317 "," 43,692 "," 87,384 "," 83,840 ", -   ,0,0,,,
9953,ASF,Ashfield,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,ScotRail,,Strathclyde,," 11,924 "," 22,158 "," 6,153 "," 40,235 "," 11,924 "," 22,158 "," 6,153 "," 40,235 "," 80,470 "," 74,160 ", -   ,0,0,,,
