NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1415 Entries & Exits,1314 Entries & Exits,Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,
9365,WAF,Wallyford,Scotland,East Lothian,East Lothian,UKM2,Eastern Scotland,ScotRail,,,," 60,327 "," 41,424 "," 46,191 "," 147,942 "," 60,327 "," 41,424 "," 46,191 "," 147,942 "," 295,884 "," 268,110 ", -   ,1,0,Reason for change unclear,,
5041,WAM,Walmer,South East,Kent,Dover,UKJ4,Kent,Southeastern,,,," 18,782 "," 33,741 "," 33,925 "," 86,448 "," 18,782 "," 33,741 "," 33,925 "," 86,448 "," 172,896 "," 174,412 ", -   ,0,0,,,
1216,WSL,Walsall,West Midlands,West Midlands,Walsall,UKG3,West Midlands,London Midland Trains,,West Midlands,," 116,235 "," 242,887 "," 292,471 "," 651,593 "," 116,235 "," 242,887 "," 292,471 "," 651,593 "," 1,303,186 "," 1,282,914 "," 9,087 ",0,0,,,
2665,WDN,Walsden,Yorkshire And The Humber,West Yorkshire,Calderdale,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 9,226 "," 17,487 "," 20,258 "," 46,971 "," 9,226 "," 17,487 "," 20,258 "," 46,971 "," 93,942 "," 94,332 ", -   ,0,0,,,
6823,WLC,Waltham Cross,East,Hertfordshire,Broxbourne,UKH2,Bedfordshire and Hertforshire,Abellio Greater Anglia,,,," 115,506 "," 157,705 "," 167,541 "," 440,752 "," 115,506 "," 157,705 "," 167,541 "," 440,752 "," 881,504 "," 770,040 ", -   ,1,0,Strong growth on West Anglia Mainline,,
6953,WHC,Walthamstow Central,London,Greater London,Waltham Forest,UKI2,Outer London,Abellio Greater Anglia,,,London Travelcard Area Station," 258,440 "," 454,526 "," 885,377 "," 1,598,343 "," 258,440 "," 454,526 "," 885,377 "," 1,598,343 "," 3,196,686 "," 2,867,570 ", -   ,1,0,Underestimation of PAYG demand in 2013/14,,
7407,WMW,Walthamstow Queens Road,London,Greater London,Waltham Forest,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 79,979 "," 120,737 "," 69,941 "," 270,657 "," 79,979 "," 120,737 "," 69,941 "," 270,657 "," 541,314 "," 458,732 ", -   ,1,0,High growth trend,,
2251,WAO,Walton (Merseyside),North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 40,166 "," 54,528 "," 41,698 "," 136,392 "," 40,166 "," 54,528 "," 41,698 "," 136,392 "," 272,784 "," 269,260 ", -   ,0,0,,,
6858,WON,Walton-On-Naze,East,Essex,Tendring,UKH3,Essex,Abellio Greater Anglia,,,," 8,132 "," 30,439 "," 22,130 "," 60,701 "," 8,132 "," 30,439 "," 22,130 "," 60,701 "," 121,402 "," 123,352 ", -   ,0,0,,,
5575,WAL,Walton-On-Thames,South East,Surrey,Elmbridge,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 342,588 "," 384,625 "," 707,119 "," 1,434,332 "," 342,588 "," 384,625 "," 707,119 "," 1,434,332 "," 2,868,664 "," 2,818,848 ", -   ,0,0,,,
