COUNTS - 2014 - annual entries & exits,,,,,,,,,,,,,
"(C) Copyright, London Underground Limited, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,[ Weights,253,52,59,253,52,59,],,,,
Counts by station,,,,,,,,,Annual,,,,
 ,,,Entry,Entry,Entry,Exit,Exit,Exit,Entry + Exit,,,,
nlc,Station,Note,Weekday,Saturday,Sunday,Weekday,Saturday,Sunday,million,,,,
576,Fairlop                            , ,1840,1069,626,1738,1044,622,1.09,,,,
577,Farringdon                         , ,42537,10317,6781,43366,11250,6334,23.63,,,,
578,Finchley Central                   , ,9486,6096,3286,9032,5334,3444,5.68,,,,
579,Finchley Road                      , ,16030,11391,8506,15361,10427,8186,10.06,,,,
580,Finsbury Park                      ,A,42657,39843,23766,42260,32598,22752,28.00,,,,
581,Fulham Broadway                    , ,16739,12375,7761,17203,12278,7446,10.77,,,,
582,Gants Hill                         , ,10753,6482,4514,10414,6366,4597,6.56,,,,
583,Gloucester Road                    , ,18943,14346,11353,17873,12984,9466,11.96,,,,
584,Golders Green                      , ,12907,9382,7297,12646,8600,7112,8.25,,,,
585,Goldhawk Road                      , ,3386,2401,1409,3265,2214,1514,2.10,,,,
586,Goodge Street                      , ,14153,6642,3573,14558,6885,3400,8.38,,,,
587,Grange Hill                        , ,1105,440,242,988,397,215,0.60,,,,
588,Great Portland Street              , ,15081,5317,3830,14525,4831,3110,8.43,,,,
590,Green Park                         , ,60138,38715,21273,68994,46942,24589,39.83,,,,
589,Greenford                          , ,7548,4901,3004,7418,4562,2945,4.63,,,,
591,Gunnersbury                        , ,9833,3328,2364,9212,2957,2152,5.41,,,,
592,Hainault                           , ,5851,3341,2117,5597,3173,2061,3.48,,,,
593,Hammersmith (Dis)                  , ,46667,32245,22664,46003,29964,21087,29.26,,,,
773,Hammersmith (H&C)                  , ,16456,10568,7357,14339,10098,7106,9.72,,,,
594,Hampstead                          , ,6273,5081,4308,6745,5456,4556,4.36,,,,
595,Hanger Lane                        , ,6418,3996,2779,5975,3657,2469,3.84,,,,
596,Harlesden                          , ,4663,2824,1393,4550,2615,1307,2.77,,,,
597,Harrow & Wealdstone                , ,7782,4867,2551,7054,4223,2296,4.51,,,,
598,Harrow-on-the-Hill                 , ,15116,10303,7228,16180,10522,7485,9.87,,,,
779,Hatton Cross                       , ,5104,3976,3059,4779,3481,2617,3.22,,,,
781,Heathrow Terminal 4                , ,10744,12043,12509,9538,10168,10700,7.66,,,,
783,Heathrow Terminal 5                , ,2855,3354,3718,2639,3251,2930,2.13,,,,
780,Heathrow Terminals 123             , ,6243,6026,7006,5346,4832,5296,4.22,,,,
601,Hendon Central                     , ,12335,7243,5220,11755,6331,5015,7.40,,,,
602,High Barnet                        , ,5275,3291,2422,5107,3129,2227,3.23,,,,
605,High Street Kensington             , ,21040,15899,11051,21802,16171,10612,13.78,,,,
